id,stockId,stockName,stockClass,startDate
637,3705,永信,生技醫療業,2011/01/03
638,3706,神達,電腦及週邊設備業,2013/09/12
639,3708,上緯投控,化學工業,2016/08/31
640,3711,日月光投控,半導體業,2018/04/30
641,3712,永崴投控,電腦及週邊設備業,2018/10/01
642,3714,富采,光電業,2021/01/06
643,3715,定穎投控,電子零組件業,2022/08/25
644,4104,佳醫,生技醫療業,2007/12/31
645,4106,雃博,生技醫療業,2004/11/08
646,4108,懷特,生技醫療業,2008/07/16
647,4119,旭富,生技醫療業,2004/01/07
648,4133,亞諾法,生技醫療業,2009/12/28
649,4137,麗豐-KY,生技醫療業,2013/11/27
650,4142,國光生,生技醫療業,2012/05/03
651,4148,全宇生技-KY,生技醫療業,2017/06/08
652,4155,訊映,生技醫療業,2017/12/05
653,4164,承業醫,生技醫療業,2012/10/24
654,4190,佐登-KY,生技醫療業,2015/10/21
2000,4205,中華食,傳產-食品,2100/01/01
655,4306,炎洲,塑膠工業,2008/01/21
656,4414,如興,紡織纖維,2004/09/06
657,4426,利勤,紡織纖維,2011/12/16
658,4438,廣越,紡織纖維,2016/10/18
659,4439,冠星-KY,紡織纖維,2019/12/05
660,4440,宜新實業,紡織纖維,2021/10/25
661,4526,東台,電機機械,2003/09/15
662,4532,瑞智,電機機械,2003/08/04
663,4536,拓凱,其他業,2013/10/09
664,4540,全球傳動,電機機械,2018/08/15
665,4545,銘鈺,電子零組件業,2016/01/06
666,4551,智伸科,汽車工業,2015/08/10
667,4552,力達-KY,電機機械,2016/07/20
668,4555,氣立,電機機械,2015/10/27
669,4557,永新-KY,汽車工業,2015/10/12
670,4560,強信-KY,電機機械,2017/05/26
671,4562,穎漢,電機機械,2017/08/21
672,4564,元翎,電機機械,2019/03/07
673,4566,時碩工業,電機機械,2018/02/05
674,4571,鈞興-KY,電機機械,2019/09/17
675,4572,駐龍,電機機械,2019/09/10
676,4576,大銀微系統,電機機械,2019/09/04
677,4581,光隆精密-KY,汽車工業,2020/03/09
678,4583,台灣精銳,電機機械,2022/05/09
679,4720,德淵,化學工業,2015/06/24
680,4722,國精化,化學工業,2012/08/15
681,4737,華廣,生技醫療業,2010/12/23
682,4739,康普,化學工業,2017/09/08
683,4746,台耀,生技醫療業,2011/03/01
684,4755,三福化,化學工業,2013/11/27
685,4763,材料-KY,化學工業,2015/11/09
686,4764,雙鍵,化學工業,2018/01/04
687,4766,南寶,化學工業,2018/11/28
688,4770,上品,化學工業,2021/12/22
689,4807,日成-KY,貿易百貨業,2017/06/26
690,4904,遠傳,通信網路業,2005/08/24
691,4906,正文,通信網路業,2003/06/30
692,4912,聯德控股-KY,電子零組件業,2015/05/21
693,4915,致伸,電子零組件業,2012/10/05
694,4916,事欣科,電腦及週邊設備業,2013/11/21
695,4919,新唐,半導體業,2010/09/27
696,4927,泰鼎-KY,電子零組件業,2015/09/08
697,4930,燦星網,電器電纜,2010/06/21
698,4934,太極,光電業,2010/03/10
699,4935,茂林-KY,光電業,2011/07/28
700,4938,和碩,電腦及週邊設備業,2010/06/24
701,4942,嘉彰,光電業,2011/06/27
